🍥, 1f365, 127845, fish-cake
🎣, 1f3a3, 127907, fishing-pole-and-fish
🔦, 1f526, 128294, flashlight
💾, 1f4be, 128190, floppy-disk
🎴, 1f3b4, 127924, flower-playing-cards
🏈, 1f3c8, 127944, football
🍴, 1f374, 127860, fork-and-knife
🍤, 1f364, 127844, fried-shrimp
🍟, 1f35f, 127839, fries
🎲, 1f3b2, 127922, game-die
💎, 1f48e, 128142, gem
🎁, 1f381, 127873, gift
⛳,  26f3,   9971, golf
🍇, 1f347, 127815, grapes
🍏, 1f34f, 127823, green-apple
📗, 1f4d7, 128215, green-book
🎸, 1f3b8, 127928, guitar
🔫, 1f52b, 128299, gun
🍔, 1f354, 127828, hamburger
🔨, 1f528, 128296, hammer
👜, 1f45c, 128092, handbag
🎧, 1f3a7, 127911, headphones
♥,  2665,   9829, hearts
🔆, 1f506, 128262, high-brightness
👠, 1f460, 128096, high-heel
🔪, 1f52a, 128298, hocho
🍯, 1f36f, 127855, honey-pot
🏇, 1f3c7, 127943, horse-racing
⌛,  231b,   8987, hourglass
⏳,  23f3,   9203, hourglass-flowing-sand
🍨, 1f368, 127848, ice-cream
🍦, 1f366, 127846, icecream
📥, 1f4e5, 128229, inbox-tray
📨, 1f4e8, 128232, incoming-envelope
📱, 1f4f1, 128241, iphone
👖, 1f456, 128086, jeans
🔑, 1f511, 128273, key
👘, 1f458, 128088, kimono
📒, 1f4d2, 128210, ledger
🍋, 1f34b, 127819, lemon
💄, 1f484, 128132, lipstick
🔒, 1f512, 128274, lock
🔏, 1f50f, 128271, lock-with-ink-pen
🍭, 1f36d, 127853, lollipop
➿,  27bf,  10175, loop
📢, 1f4e2, 128226, loudspeaker
🔅, 1f505, 128261, low-brightness
🔍, 1f50d, 128269, mag
🔎, 1f50e, 128270, mag-right
🀄, 1f004, 126980, mahjong
📫, 1f4eb, 128235, mailbox
📪, 1f4ea, 128234, mailbox-closed
📬, 1f4ec, 128236, mailbox-with-mail
📭, 1f4ed, 128237, mailbox-with-no-mail
👞, 1f45e, 128094, mans-shoe
🍖, 1f356, 127830, meat-on-bone
📣, 1f4e3, 128227, mega
🍈, 1f348, 127816, melon
📝, 1f4dd, 128221, memo
🎤, 1f3a4, 127908, microphone
🔬, 1f52c, 128300, microscope
💽, 1f4bd, 128189, minidisc
💸, 1f4b8, 128184, money-with-wings
💰, 1f4b0, 128176, moneybag
🚵, 1f6b5, 128693, mountain-bicyclist
🎥, 1f3a5, 127909, movie-camera
🎹, 1f3b9, 127929, musical-keyboard
🎼, 1f3bc, 127932, musical-score
🔇, 1f507, 128263, mute
📛, 1f4db, 128219, name-badge
👔, 1f454, 128084, necktie
📰, 1f4f0, 128240, newspaper
🔕, 1f515, 128277, no-bell
📓, 1f4d3, 128211, notebook
📔, 1f4d4, 128212, notebook-with-decorative-cover
🔩, 1f529, 128297, nut-and-bolt
🍢, 1f362, 127842, oden
📂, 1f4c2, 128194, open-file-folder
📙, 1f4d9, 128217, orange-book
📤, 1f4e4, 128228, outbox-tray
📄, 1f4c4, 128196, page-facing-up
📃, 1f4c3, 128195, page-with-curl
📟, 1f4df, 128223, pager
📎, 1f4ce, 128206, paperclip
🍑, 1f351, 127825, peach
🍐, 1f350, 127824, pear
✏,  270f,   9999, pencil2
☎,  260e,   9742, phone
💊, 1f48a, 128138, pill
🍍, 1f34d, 127821, pineapple
🍕, 1f355, 127829, pizza
📯, 1f4ef, 128239, postal-horn
📮, 1f4ee, 128238, postbox
👝, 1f45d, 128093, pouch
🍗, 1f357, 127831, poultry-leg
💷, 1f4b7, 128183, pound
👛, 1f45b, 128091, purse
📌, 1f4cc, 128204, pushpin
📻, 1f4fb, 128251, radio
🍜, 1f35c, 127836, ramen
🎀, 1f380, 127872, ribbon
🍚, 1f35a, 127834, rice
🍙, 1f359, 127833, rice-ball
🍘, 1f358, 127832, rice-cracker
💍, 1f48d, 128141, ring
🏉, 1f3c9, 127945, rugby-football
🎽, 1f3bd, 127933, running-shirt-with-sash
🍶, 1f376, 127862, sake
👡, 1f461, 128097, sandal
📡, 1f4e1, 128225, satellite
🎷, 1f3b7, 127927, saxophone
✂,  2702,   9986, scissors
📜, 1f4dc, 128220, scroll
💺, 1f4ba, 128186, seat
🍧, 1f367, 127847, shaved-ice
👕, 1f455, 128085, shirt
🚿, 1f6bf, 128703, shower
🎿, 1f3bf, 127935, ski
🚬, 1f6ac, 128684, smoking
🏂, 1f3c2, 127938, snowboarder
⚽,  26bd,   9917, soccer
🔉, 1f509, 128265, sound
👾, 1f47e, 128126, space-invader
♠,  2660,   9824, spades
🍝, 1f35d, 127837, spaghetti
🔊, 1f50a, 128266, speaker
🍲, 1f372, 127858, stew
📏, 1f4cf, 128207, straight-ruler
🍓, 1f353, 127827, strawberry
🏄, 1f3c4, 127940, surfer
🍣, 1f363, 127843, sushi
🍠, 1f360, 127840, sweet-potato
🏊, 1f3ca, 127946, swimmer
💉, 1f489, 128137, syringe
🎉, 1f389, 127881, tada
🎋, 1f38b, 127883, tanabata-tree
🍊, 1f34a, 127818, tangerine
🍵, 1f375, 127861, tea
📞, 1f4de, 128222, telephone-receiver
🔭, 1f52d, 128301, telescope
🎾, 1f3be, 127934, tennis
🚽, 1f6bd, 128701, toilet
🍅, 1f345, 127813, tomato
🎩, 1f3a9, 127913, tophat
📐, 1f4d0, 128208, triangular-ruler
🏆, 1f3c6, 127942, trophy
🍹, 1f379, 127865, tropical-drink
🎺, 1f3ba, 127930, trumpet
📺, 1f4fa, 128250, tv
🔓, 1f513, 128275, unlock
📼, 1f4fc, 128252, vhs
📹, 1f4f9, 128249, video-camera
🎮, 1f3ae, 127918, video-game
🎻, 1f3bb, 127931, violin
⌚,  231a,   8986, watch
🍉, 1f349, 127817, watermelon
🍷, 1f377, 127863, wine-glass
👚, 1f45a, 128090, womans-clothes
👒, 1f452, 128082, womans-hat
🔧, 1f527, 128295, wrench
💴, 1f4b4, 128180, yen
🚡, 1f6a1, 128673, aerial-tramway
✈,  2708,   9992, airplane
🚑, 1f691, 128657, ambulance
⚓,  2693,   9875, anchor
🚛, 1f69b, 128667, articulated-lorry
🏧, 1f3e7, 127975, atm
🏦, 1f3e6, 127974, bank
💈, 1f488, 128136, barber
🔰, 1f530, 128304, beginner
🚲, 1f6b2, 128690, bike
🚙, 1f699, 128665, blue-car
⛵,  26f5,   9973, boat
🌉, 1f309, 127753, bridge-at-night
🚅, 1f685, 128645, bullettrain-front
🚄, 1f684, 128644, bullettrain-side
🚌, 1f68c, 128652, bus
🚏, 1f68f, 128655, busstop
🚗, 1f697, 128663, car
🎠, 1f3a0, 127904, carousel-horse
🏁, 1f3c1, 127937, checkered-flag
⛪,  26ea,   9962, church
🎪, 1f3aa, 127914, circus-tent
🌇, 1f307, 127751, city-sunrise
🌆, 1f306, 127750, city-sunset
🚧, 1f6a7, 128679, construction
🏪, 1f3ea, 127978, convenience-store
🎌, 1f38c, 127884, crossed-flags
🏬, 1f3ec, 127980, department-store
🏰, 1f3f0, 127984, european-castle
🏤, 1f3e4, 127972, european-post-office
🏭, 1f3ed, 127981, factory
🎡, 1f3a1, 127905, ferris-wheel
🚒, 1f692, 128658, fire-engine
⛲,  26f2,   9970, fountain
⛽,  26fd,   9981, fuelpump
🚁, 1f681, 128641, helicopter
🏥, 1f3e5, 127973, hospital
🏨, 1f3e8, 127976, hotel
♨,  2668,   9832, hotsprings
🏠, 1f3e0, 127968, house
🏡, 1f3e1, 127969, house-with-garden
🗾, 1f5fe, 128510, japan
🏯, 1f3ef, 127983, japanese-castle
🚈, 1f688, 128648, light-rail
🏩, 1f3e9, 127977, love-hotel
🚐, 1f690, 128656, minibus
🚝, 1f69d, 128669, monorail
🗻, 1f5fb, 128507, mount-fuji
🚠, 1f6a0, 128672, mountain-cableway
🚞, 1f69e, 128670, mountain-railway
🗿, 1f5ff, 128511, moyai
🏢, 1f3e2, 127970, office
🚘, 1f698, 128664, oncoming-automobile
🚍, 1f68d, 128653, oncoming-bus
🚔, 1f694, 128660, oncoming-police-car
🚖, 1f696, 128662, oncoming-taxi
🎭, 1f3ad, 127917, performing-arts
🚓, 1f693, 128659, police-car
🏣, 1f3e3, 127971, post-office
🚃, 1f683, 128643, railway-car
🌈, 1f308, 127752, rainbow
🚀, 1f680, 128640, rocket
🎢, 1f3a2, 127906, roller-coaster
🚨, 1f6a8, 128680, rotating-light
📍, 1f4cd, 128205, round-pushpin
🚣, 1f6a3, 128675, rowboat
🏫, 1f3eb, 127979, school
🚢, 1f6a2, 128674, ship
🎰, 1f3b0, 127920, slot-machine
🚤, 1f6a4, 128676, speedboat
🌃, 1f303, 127747, stars
🚉, 1f689, 128649, station
🗽, 1f5fd, 128509, statue-of-liberty
🚂, 1f682, 128642, steam-locomotive
🌅, 1f305, 127749, sunrise
🌄, 1f304, 127748, sunrise-over-mountains
🚟, 1f69f, 128671, suspension-railway
🚕, 1f695, 128661, taxi
⛺,  26fa,   9978, tent
🎫, 1f3ab, 127915, ticket
🗼, 1f5fc, 128508, tokyo-tower
🚜, 1f69c, 128668, tractor
🚥, 1f6a5, 128677, traffic-light
🚆, 1f686, 128646, train2
🚊, 1f68a, 128650, tram
🚩, 1f6a9, 128681, triangular-flag-on-post
🚎, 1f68e, 128654, trolleybus
🚚, 1f69a, 128666, truck
🚦, 1f6a6, 128678, vertical-traffic-light
⚠,  26a0,   9888, warning
💒, 1f492, 128146, wedding
💯, 1f4af, 128175, 100
🔢, 1f522, 128290, 1234
🅰, 1f170, 127344, a
🆎, 1f18e, 127374, ab
🔤, 1f524, 128292, abc
🔡, 1f521, 128289, abcd
🉑, 1f251, 127569, accept
♒,  2652,   9810, aquarius
♈,  2648,   9800, aries
◀,  25c0,   9664, arrow-backward
⏬,  23ec,   9196, arrow-double-down
⏫,  23eb,   9195, arrow-double-up
⬇,  2b07,  11015, arrow-down
🔽, 1f53d, 128317, arrow-down-small
▶,  25b6,   9654, arrow-forward
⤵,  2935,  10549, arrow-heading-down
⤴,  2934,  10548, arrow-heading-up
⬅,  2b05,  11013, arrow-left
↙,  2199,   8601, arrow-lower-left
↘,  2198,   8600, arrow-lower-right
➡,  27a1,  10145, arrow-right
↪,  21aa,   8618, arrow-right-hook
⬆,  2b06,  11014, arrow-up
↕,  2195,   8597, arrow-up-down
🔼, 1f53c, 128316, arrow-up-small
↖,  2196,   8598, arrow-upper-left
↗,  2197,   8599, arrow-upper-right
🔃, 1f503, 128259, arrows-clockwise
🔄, 1f504, 128260, arrows-counterclockwise
🅱, 1f171, 127345, b
